"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/02/2016","10:43:30","Step 1","https://im-im2.hdm-stuttgart.de","1721","282","","4629","813315","2","2","44","44","0","0","0","0","0","1181","","","","1763","","","","","0","","","2","0","1721","","","1","98","0","-1","-1","-1","100","-1","-1","100","4629","812828","2","2","44","44","0","0","0","0","59","","","-1","","","","283","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","826","1721","1731","697","697","2383","Firefox","47.0.0.5999","1","43","","0","1","0","1240",
"07/02/2016","10:43:48","Step 1","https://im-im2.hdm-stuttgart.de","536","1053","","975","7663","1","1","1","1","0","0","0","0","0","761","","","","1055","","","","","1","","","2","0","536","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1055","200","0","0","","","0","0","0","1","","199","","Medienmaster","652","573","587","506","507","1761","Firefox","47.0.0.5999","1","51","","0","1","1","834",
"07/02/2016","10:44:06","Step 1","https://im-im2.hdm-stuttgart.de","1712","268","","5142","813338","2","2","44","44","0","0","0","0","0","1126","","","","1747","","","","","0","","","2","0","1712","","","1","98","0","-1","-1","-1","100","-1","-1","100","5142","812874","2","2","44","44","0","0","0","0","59","","","-1","","","","269","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","872","1711","1713","797","797","2183","Firefox","47.0.0.5999","1","44","","0","2","0","1174",
"07/02/2016","10:44:23","Step 1","https://im-im2.hdm-stuttgart.de","515","1044","","975","7663","1","1","1","1","0","0","0","0","0","762","","","","1045","","","","","1","","","2","0","515","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1045","200","0","0","","","0","0","0","1","","199","","Medienmaster","627","552","558","484","484","1761","Firefox","47.0.0.5999","1","50","","0","2","1","834",
"07/02/2016","10:44:42","Step 1","https://im-im2.hdm-stuttgart.de","1720","269","","4629","813344","2","2","44","44","0","0","0","0","0","1174","","","","1771","","","","","0","","","2","0","1720","","","1","98","0","-1","-1","-1","100","-1","-1","100","4629","812857","2","2","44","44","0","0","0","0","59","","","-1","","","","270","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","575","1719","1721","772","772","2479","Firefox","47.0.0.5999","1","44","","0","3","0","1241",
"07/02/2016","10:45:00","Step 1","https://im-im2.hdm-stuttgart.de","557","1073","","975","7663","1","1","1","1","0","0","0","0","0","857","","","","1074","","","","","1","","","2","0","557","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1074","200","0","0","","","0","0","0","1","","199","","Medienmaster","673","598","613","368","368","1757","Firefox","47.0.0.5999","1","51","","0","3","1","928",
"07/02/2016","10:45:18","Step 1","https://im-im2.hdm-stuttgart.de","1700","253","","4629","813314","2","2","44","44","0","0","0","0","0","1168","","","","1734","","","","","0","","","2","0","1700","","","1","98","0","-1","-1","-1","100","-1","-1","100","4629","812827","2","2","44","44","0","0","0","0","59","","","-1","","","","254","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","787","1699","1701","654","654","2383","Firefox","47.0.0.5999","1","44","","0","4","0","1237",
"07/02/2016","10:45:36","Step 1","https://im-im2.hdm-stuttgart.de","543","1028","","975","7662","1","1","1","1","0","0","0","0","0","760","","","","1029","","","","","1","","","2","0","543","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1029","200","0","0","","","0","0","0","1","","199","","Medienmaster","758","580","586","516","516","1861","Firefox","47.0.0.5999","1","47","","0","4","1","843",
"07/02/2016","10:45:55","Step 1","https://im-im2.hdm-stuttgart.de","1727","268","","4743","813315","2","2","44","44","0","0","0","0","0","1204","","","","1769","","","","","0","","","2","0","1727","","","1","98","0","-1","-1","-1","100","-1","-1","100","4743","812828","2","2","44","44","0","0","0","0","59","","","-1","","","","269","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","576","1726","1736","770","770","2083","Firefox","47.0.0.5999","1","44","","0","5","0","1242",
"07/02/2016","10:46:12","Step 1","https://im-im2.hdm-stuttgart.de","530","1024","","975","7663","1","1","1","1","0","0","0","0","0","754","","","","1025","","","","","1","","","2","0","530","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1025","200","0","0","","","0","0","0","1","","199","","Medienmaster","640","563","570","499","499","1765","Firefox","47.0.0.5999","1","45","","0","5","1","836",
"07/02/2016","10:46:30","Step 1","https://im-im2.hdm-stuttgart.de","1738","288","","4629","813309","2","2","44","44","0","0","0","0","0","1272","","","","1787","","","","","0","","","2","0","1738","","","1","98","0","-1","-1","-1","100","-1","-1","100","4629","812822","2","2","44","44","0","0","0","0","59","","","-1","","","","289","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","790","1737","1748","694","695","2383","Firefox","47.0.0.5999","1","42","","0","6","0","1328",
"07/02/2016","10:46:48","Step 1","https://im-im2.hdm-stuttgart.de","560","1150","","975","7663","1","1","1","1","0","0","0","0","0","777","","","","1151","","","","","1","","","2","0","560","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1151","200","0","0","","","0","0","0","1","","199","","Medienmaster","674","593","607","528","528","1765","Firefox","47.0.0.5999","1","44","","0","6","1","845",
