"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/10/2016","18:31:30","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","77","76","210","449","1894","1498","","","Wed, 20 Jul 2016 18:31:27 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","44","","287","","","","","","","","","","","1","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","126","157","157","209","0","0","","","","1","52","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/dozenten2.html","200","70","50","290","173","8927","7070","","","Sun, 10 Jul 2016 19:31:27 GMT","max-age=3600","text/html","gzip","3","43","","360","","","","","","","","","","","2","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","3600","","","1","","0","30","30","64","65","161","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","43","43","333","0","1693","1538","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","376","","","","","","","","","","","3","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/stylehttp2.css","200","70","69","334","0","2017","1955","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","404","","","","","","","","","","","4","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/menu.css","200","70","70","334","0","1269","1207","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","404","","","","","","","","","","","5","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/footer.css","200","70","70","334","0","517","456","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","404","","","","","","","","","","","6","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/team2.css","200","70","70","334","0","1217","1155","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","404","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/bootstrap1.css","200","89","70","334","0","8210","8148","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","423","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/bootstrap2.css","200","105","89","334","0","7158","7096","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","439","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
"07/10/2016","18:31:30","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/bootstrap3.css","200","122","105","334","0","7213","7151","","","Mon, 10 Jul 2017 18:31:27 GMT","max-age=31536000","text/css","gzip","3","43","","456","","","","","","","","","","","10","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","34","1","0",
